Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Karya.Core.Indentity.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Features\Commands\ApplicationCommands.cs,82,12,T:System.Uri,,,,,descriptor.RedirectUris.Add(new Uri(uri));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\Features\Commands\ApplicationCommands.cs,82,12,M:System.Uri.#ctor(System.String),,,,,descriptor.RedirectUris.Add(new Uri(uri));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\AssemblyReference.cs,44,16,M:System.TimeSpan.FromDays(System.Int32),,,,,options.SetRefreshTokenLifetime(TimeSpan.FromDays(30));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\AssemblyReference.cs,14,8,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,"services.AddIdentity<AppUser, AppRole>().AddEntityFrameworkStores<TIdentityContext>();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Karya.Core.Indentity\Karya.Core.Indentity.csproj,File,Karya.Core.Indentity\AssemblyReference.cs,14,8,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,"services.AddIdentity<AppUser, AppRole>().AddEntityFrameworkStores<TIdentityContext>();"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core.Web\Karya.Core.Web.csproj,File,Karya.Core.Web\Karya.Core.Web.csproj,,,Microsoft.AspNetCore.JsonPatch 10.0.9,,,,,"Microsoft.AspNetCore.JsonPatch, 10.0.9  Recommendation:  Remove Microsoft.AspNetCore.JsonPatch, and replace with new package Microsoft.AspNetCore.JsonPatch 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Core.Web\Karya.Core.Web.csproj,File,Karya.Core.Web\Karya.Core.Web.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.14,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.14  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.10"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Karya.Core.Web\Karya.Core.Web.csproj,File,Karya.Core.Web\Karya.Core.Web.csproj,,,System.Reflection.Emit 4.3.0,,,,,"System.Reflection.Emit, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Karya.Core.Web\Karya.Core.Web.csproj,File,Karya.Core.Web\Karya.Core.Web.csproj,,,System.Reflection.Emit.Lightweight 4.3.0,,,,,"System.Reflection.Emit.Lightweight, 4.3.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Karya.Core.Web\Karya.Core.Web.csproj,File,Karya.Core.Web\Karya.Core.Web.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 9.0.15,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 9.0.15  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.14,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.14,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.14,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.14,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.14  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Data\Service\TokenService.cs,63,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Data\Service\TokenService.cs,63,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Data\Service\TokenService.cs,63,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,return new JwtSecurityTokenHandler().WriteToken(token);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Data\Service\TokenService.cs,55,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"var token = new JwtSecurityToken(              issuer: _options.Issuer,              audience: _options.Audience,              claims: claims,              expires: DateTime.Now.AddMinutes(_options.ExpireMinutes),              signingCredentials: creds          );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Data\Service\TokenService.cs,55,8,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.#ctor(System.String,System.String,System.Collections.Generic.IEnumerable{System.Security.Claims.Claim},System.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials)",,,,,"var token = new JwtSecurityToken(              issuer: _options.Issuer,              audience: _options.Audience,              claims: claims,              expires: DateTime.Now.AddMinutes(_options.ExpireMinutes),              signingCredentials: creds          );"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Karya.Test.Web.Api\Karya.Test.Web.Api.csproj,File,Karya.Test.Web.Api\Program.cs,76,0,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var jwt = builder.Configuration.GetSection(""Jwt"").Get<JwtOptions>();"
